timestamp,packets_sent,bytes_sent,elapsed_time,packet_rate,bandwidth,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv,attack_intensity,src_ip,dest_ip
2024-09-22 18:26:27.683639,0,0,90.99934005737305,0.0,0.0,6.5,44.3,140875041,22857938806,341073,16404966,2.0,,192.168.1.100
2024-09-22 18:26:28.688037,0,0,92.00373792648315,0.0,0.0,2.5,44.3,140885244,22857950468,341139,16405031,2.0,,192.168.1.100
2024-09-22 18:26:29.689639,0,0,93.0053403377533,0.0,0.0,5.0,44.3,140885936,22857950993,341142,16405033,2.0,,192.168.1.100
2024-09-22 18:26:30.691149,0,0,94.00684952735901,0.0,0.0,6.0,44.3,140906941,22857956677,341182,16405064,2.0,,192.168.1.100
2024-09-22 18:26:31.692745,0,0,95.00844621658325,0.0,0.0,6.2,44.0,140910014,22857960937,341195,16405076,2.0,,192.168.1.100
2024-09-22 18:26:32.693615,0,0,96.0093162059784,0.0,0.0,4.0,44.0,140911595,22857962407,341205,16405084,2.0,,192.168.1.100
2024-09-22 18:26:33.695196,0,0,97.01089692115784,0.0,0.0,3.5,44.0,140912798,22857963577,341216,16405094,2.0,,192.168.1.100
2024-09-22 18:26:34.696697,0,0,98.01239824295044,0.0,0.0,4.0,44.0,140924764,22857977206,341288,16405165,2.0,,192.168.1.100
2024-09-22 18:26:35.697596,0,0,99.01329731941223,0.0,0.0,9.5,44.0,140942495,22857997052,341392,16405266,2.0,,192.168.1.100
2024-09-22 18:26:36.699255,0,0,100.01495552062988,0.0,0.0,9.5,44.2,140962442,22858002495,341421,16405289,2.0,,192.168.1.100
2024-09-22 18:26:37.700770,0,0,101.01647090911865,0.0,0.0,7.5,44.3,140971980,22858015206,341471,16405338,2.0,,192.168.1.100
2024-09-22 18:26:38.706436,0,0,102.02213668823242,0.0,0.0,3.0,44.3,140973089,22858016310,341481,16405347,2.0,,192.168.1.100
2024-09-22 18:26:39.708037,0,0,103.02373766899109,0.0,0.0,4.0,44.3,140982070,22858026400,341535,16405399,2.0,,192.168.1.100
2024-09-22 18:26:40.709663,0,0,104.02536392211914,0.0,0.0,10.4,44.3,140992848,22858038509,341598,16405458,2.0,,192.168.1.100
2024-09-22 18:26:41.711277,0,0,105.02697849273682,0.0,0.0,0.5,44.3,140994334,22858039658,341609,16405466,2.0,,192.168.1.100
2024-09-22 18:26:42.712890,0,0,106.02859115600586,0.0,0.0,9.6,44.4,141013976,22858044392,341637,16405487,2.0,,192.168.1.100
2024-09-22 18:26:43.714520,0,0,107.0302209854126,0.0,0.0,1.0,44.4,141015085,22858045496,341647,16405496,2.0,,192.168.1.100
2024-09-22 18:26:44.716123,0,0,108.03182435035706,0.0,0.0,5.0,44.4,141015777,22858046021,341650,16405498,2.0,,192.168.1.100
2024-09-22 18:26:45.717732,0,0,109.03343343734741,0.0,0.0,5.0,44.4,141017399,22858046912,341661,16405506,2.0,,192.168.1.100
2024-09-22 18:26:46.719379,0,0,110.03507995605469,0.0,0.0,10.7,44.5,141018457,22858048127,341670,16405514,2.0,,192.168.1.100
2024-09-22 18:26:47.720996,0,0,111.03669691085815,0.0,0.0,3.5,44.5,141019149,22858048652,341673,16405516,2.0,,192.168.1.100
2024-09-22 18:26:48.725528,0,0,112.04122948646545,0.0,0.0,7.5,44.5,141038560,22858053437,341701,16405538,2.0,,192.168.1.100
2024-09-22 18:26:49.727189,0,0,113.04288983345032,0.0,0.0,7.5,44.5,144231203,22858089879,342021,16405857,2.0,,192.168.1.100
2024-09-22 18:26:50.728835,0,0,114.04453587532043,0.0,0.0,7.5,44.5,144232825,22858090770,342032,16405865,2.0,,192.168.1.100
2024-09-22 18:26:51.730477,0,0,115.0461778640747,0.0,0.0,1.0,44.5,144233883,22858091985,342041,16405873,2.0,,192.168.1.100
2024-09-22 18:26:52.732131,0,0,116.04783248901367,0.0,0.0,3.0,44.5,144234575,22858092510,342044,16405875,2.0,,192.168.1.100
2024-09-22 18:26:53.733763,0,0,117.0494635105133,0.0,0.0,7.6,44.5,144235501,22858093269,342051,16405881,2.0,,192.168.1.100
2024-09-22 18:26:54.735338,0,0,118.05103945732117,0.0,0.0,7.9,44.5,144265715,22858110203,342144,16405964,2.0,,192.168.1.100
2024-09-22 18:26:55.737073,0,0,119.05277395248413,0.0,0.0,6.1,44.5,144278523,22858127350,342181,16405998,2.0,,192.168.1.100
2024-09-22 18:26:56.738718,0,0,120.05441856384277,0.0,0.0,15.2,44.3,144376566,22858191262,342309,16406124,2.0,,192.168.1.100
2024-09-22 18:26:57.740334,0,0,121.05603528022766,0.0,0.0,1.0,44.3,144383274,22858199281,342347,16406161,2.0,,192.168.1.100
2024-09-22 18:26:58.744716,0,0,122.06041693687439,0.0,0.0,10.6,44.3,144390022,22858208593,342381,16406194,2.0,,192.168.1.100
2024-09-22 18:26:59.746391,0,0,123.06209206581116,0.0,0.0,6.0,44.3,144391245,22858209367,342389,16406200,2.0,,192.168.1.100
2024-09-22 18:27:00.748056,0,0,124.06375741958618,0.0,0.0,10.5,44.3,144460142,22858258366,342460,16406265,2.0,,192.168.1.100
2024-09-22 18:27:01.749691,0,0,125.06539154052734,0.0,0.0,2.0,44.3,144460900,22858258891,342464,16406267,2.0,,192.168.1.100
2024-09-22 18:27:02.750255,0,0,126.06595635414124,0.0,0.0,3.0,44.3,144467547,22858267003,342490,16406292,2.0,,192.168.1.100
2024-09-22 18:27:03.751369,0,0,127.06707048416138,0.0,0.0,1.0,44.3,144469146,22858268630,342507,16406307,2.0,,192.168.1.100
2024-09-22 18:27:04.752453,0,0,128.06815433502197,0.0,0.0,12.1,44.3,144470303,22858269404,342514,16406313,2.0,,192.168.1.100
2024-09-22 18:27:05.753593,0,0,129.06929421424866,0.0,0.0,6.0,44.3,144471526,22858270690,342522,16406320,2.0,,192.168.1.100
2024-09-22 18:27:06.754653,0,0,130.07035398483276,0.0,0.0,10.2,44.6,144490769,22858275241,342547,16406338,2.0,,192.168.1.100
2024-09-22 18:27:07.755759,0,0,131.07146000862122,0.0,0.0,0.0,44.6,144491461,22858275832,342550,16406341,2.0,,192.168.1.100
2024-09-22 18:27:08.760215,0,0,132.07591581344604,0.0,0.0,3.5,44.6,144492453,22858276657,342558,16406348,2.0,,192.168.1.100
2024-09-22 18:27:09.761843,0,0,133.07754373550415,0.0,0.0,11.0,44.6,144493676,22858277497,342566,16406355,2.0,,192.168.1.100
2024-09-22 18:27:10.763463,0,0,134.07916450500488,0.0,0.0,7.5,44.6,144495265,22858278939,342580,16406367,2.0,,192.168.1.100
2024-09-22 18:27:11.765072,0,0,135.08077263832092,0.0,0.0,0.5,44.6,144496023,22858279530,342584,16406370,2.0,,192.168.1.100
2024-09-22 18:27:12.766749,0,0,136.08245038986206,0.0,0.0,4.0,44.6,144515200,22858284081,342608,16406388,2.0,,192.168.1.100
2024-09-22 18:27:13.768371,0,0,137.0840721130371,0.0,0.0,0.0,44.6,144516126,22858284840,342615,16406394,2.0,,192.168.1.100
2024-09-22 18:27:14.769957,0,0,138.08565759658813,0.0,0.0,7.5,44.6,144517283,22858285614,342622,16406400,2.0,,192.168.1.100
2024-09-22 18:27:15.771580,0,0,139.08728122711182,0.0,0.0,10.1,44.1,144518440,22858286388,342629,16406406,2.0,,192.168.1.100
2024-09-22 18:27:16.772241,0,0,140.08794164657593,0.0,0.0,10.0,44.4,144519132,22858286913,342632,16406408,2.0,,192.168.1.100
2024-09-22 18:27:17.773929,0,0,141.08962965011597,0.0,0.0,2.5,44.4,144519824,22858287438,342635,16406410,2.0,,192.168.1.100
2024-09-22 18:27:18.778294,0,0,142.09399509429932,0.0,0.0,3.0,44.4,144539235,22858292223,342663,16406432,2.0,,192.168.1.100
2024-09-22 18:27:19.779922,0,0,143.09562277793884,0.0,0.0,4.0,44.4,144551088,22858293195,342673,16406441,2.0,,192.168.1.100
2024-09-22 18:27:20.781635,0,0,144.0973355770111,0.0,0.0,15.0,44.4,144552311,22858294351,342681,16406448,2.0,,192.168.1.100
2024-09-22 18:27:21.783266,0,0,145.0989670753479,0.0,0.0,2.0,44.4,144553003,22858294876,342684,16406450,2.0,,192.168.1.100
2024-09-22 18:27:22.784899,0,0,146.10060024261475,0.0,0.0,7.5,44.4,144571905,22858313745,342762,16406523,2.0,,192.168.1.100
